twitter,url,name,location,timezone,country,language,bundle,wait,no_adguard
bleacherreport,https://bleacherreport.com/,Bleacher Report,New York City,America/New_York,US,en,sports,,
bleepincomputer,https://www.bleepingcomputer.com/,BleepingComputer,New York City,America/New_York,US,en,tech,,
blockclubchi,https://blockclubchicago.org/,Block Club Chicago,Chicago,America/Chicago,US,en,illinois|chicago,,
bloombergjapan,https://www.bloomberg.co.jp/,Bloomberg Japan,Tokyo,Asia/Tokyo,JP,ja,,,
blueridgenow,https://www.blueridgenow.com/,blueridgenow.com,Hendersonville,America/New_York,US,en,north-carolina|gannett,,
blufftontoday,https://www.blufftontoday.com/,Bluffton Today,Bluffton,America/New_York,US,en,south-carolina|gannett,,
bmtenterprise,https://www.beaumontenterprise.com/,Beaumont Enterprise,Beaumont,America/Chicago,US,en,texas,,
boingboing,https://boingboing.net/,Boing Boing,San Francisco,America/Los_Angeles,US,en,tech,,
bonappetit,https://www.bonappetit.com/,Bon Appetit,New York City,America/New_York,US,en,,,
bonginoreport,https://bonginoreport.com/,Bongino Report,Florida,America/New_York,US,en,us-right-wing,,
borderless_mag,https://borderlessmag.org/,Borderless,Chicago,America/Chicago,US,en,illinois|chicago,,
bosbizjournal,https://www.bizjournals.com/boston/,Boston Business Journal,Boston,America/New_York,US,en,massachusetts,,
bostonglobe,https://www.bostonglobe.com/,Boston Globe,Boston,America/New_York,US,en,massachusetts,,
bostonherald,https://www.bostonherald.com/,Boston Herald,Boston,America/New_York,US,en,massachusetts,,
bradentonherald,http://www.bradenton.com,Bradenton Herald,Bradenton,America/New_York,US,en,florida|mcclatchy,,
breakingnews_rs,https://www.redding.com/,Redding Record Searchlight,Redding,America/Los_Angeles,US,en,california|gannett,,
brecktexan,https://breckenridgetexan.com/,Breckenridge Texan,Breckenridge,America/Chicago,US,en,texas,,
breitbartnews,https://www.breitbart.com/,Breitbart,Los Angeles,America/New_York,US,en,us-right-wing,,
brooklynpaper,https://www.brooklynpaper.com/,Brooklyn Paper,New York City,America/New_York,US,en,new-york-city|new-york-state,,
brunswick_news,https://www.thebrunswicknews.com,The Brunswick News,Brunswick,America/New_York,US,en,georgia,,
btno,https://www.bt.no/,Bergens Tidende,Bergen,Europe/Oslo,NO,no,,,
buckscoherald,https://buckscountyherald.com/,Bucks County Herald,Lahaska,America/New_York,US,en,,,
