handle,performance_count,performance_median,performance_mean,performance_min,performance_max,performance_std,accessibility_count,accessibility_median,accessibility_mean,accessibility_min,accessibility_max,accessibility_std,seo_count,seo_median,seo_mean,seo_min,seo_max,seo_std,best_practices_count,best_practices_median,best_practices_mean,best_practices_min,best_practices_max,best_practices_std,performance_color,accessibility_color,seo_color,best_practices_color,performance_rank,accessibility_rank,seo_rank,best_practices_rank
nybooks,15,0.24,0.2313333333333333,0.18,0.26,0.02474633209954463,15,0.76,0.76,0.76,0.76,0.0,15,0.71,0.7099999999999999,0.71,0.71,0.0,13,0.92,0.9007692307692309,0.67,0.92,0.06933752452815363,red,orange,orange,green,710.0,936.0,1079.0,126.0
nypost,15,0.22,0.22066666666666668,0.19,0.31,0.02685055643655045,15,0.92,0.9186666666666667,0.9,0.92,0.0051639777949432294,15,0.92,0.92,0.92,0.92,0.0,15,0.75,0.728,0.58,0.75,0.049598387070548984,red,green,green,orange,758.0,220.0,233.0,786.0
nysfocus,15,0.34,0.3513333333333334,0.23,0.57,0.08871033654272657,15,0.87,0.87,0.87,0.87,0.0,15,0.85,0.85,0.85,0.85,0.0,15,0.8300000000000001,0.8033333333333333,0.75,0.8300000000000001,0.03903600291794136,red,orange,orange,orange,547.0,413.0,724.0,298.0
nytimes,29,0.27,0.25620689655172413,0.17,0.34,0.051714449010438104,29,0.93,0.9451724137931035,0.86,0.99,0.044047108682082996,29,0.98,0.9558620689655172,0.91,0.98,0.0338607696920482,29,0.8300000000000001,0.83,0.83,0.8300000000000001,4.1962486042515756e-17,red,green,green,orange,651.0,189.0,68.0,298.0
nzherald,15,0.18,0.182,0.17,0.2,0.008618916073713349,15,0.72,0.7573333333333333,0.72,0.8,0.04131182235954586,15,0.8200000000000001,0.8546666666666667,0.8200000000000001,0.9,0.038520248231410974,14,0.75,0.7785714285714286,0.75,0.8300000000000001,0.03977961264790777,red,orange,orange,orange,869.0,992.0,922.0,786.0
objectivejrn,15,0.82,0.7993333333333333,0.63,0.89,0.0632982358890567,15,0.86,0.86,0.86,0.86,0.0,15,0.91,0.9053333333333333,0.9,0.91,0.005163977794943233,15,1.0,1.0,1.0,1.0,0.0,orange,orange,green,green,233.0,627.0,487.0,1.0
observatorio,23,0.51,0.48434782608695653,0.24,0.52,0.06323305284684598,23,0.94,0.9399999999999998,0.94,0.94,0.0,23,0.9,0.9,0.9,0.9,0.0,23,0.75,0.75,0.75,0.75,0.0,orange,green,green,orange,372.0,162.0,588.0,786.0
occrp,15,0.59,0.5826666666666667,0.53,0.63,0.02685055643655047,15,0.86,0.86,0.86,0.86,0.0,15,0.84,0.84,0.84,0.84,0.0,15,0.92,0.92,0.92,0.92,0.0,orange,orange,orange,green,320.0,627.0,781.0,126.0
ocregister,15,0.06,0.05999999999999999,0.06,0.06,0.0,15,0.85,0.8433333333333334,0.83,0.85,0.009759000729485295,15,0.84,0.84,0.84,0.84,0.0,15,0.75,0.7333333333333333,0.58,0.75,0.04715728494951255,red,orange,orange,orange,1070.0,669.0,781.0,786.0
oglethorpe_echo,15,0.11,0.11866666666666667,0.08,0.17,0.020998866182543787,15,0.88,0.88,0.88,0.88,0.0,15,0.77,0.77,0.77,0.77,0.0,15,0.92,0.8973333333333334,0.75,0.92,0.059817181796664745,red,orange,orange,green,1020.0,324.0,989.0,126.0
okayplayer,15,0.18,0.17466666666666666,0.07,0.22,0.0358302877997027,15,0.98,0.98,0.98,0.98,0.0,15,0.86,0.86,0.86,0.86,0.0,15,1.0,0.9786666666666667,0.92,1.0,0.036619016657365076,red,green,orange,green,869.0,27.0,675.0,1.0
omelete,24,0.415,0.4270833333333333,0.32,0.51,0.046762969990354994,24,0.71,0.71,0.71,0.71,0.0,24,0.76,0.7600000000000001,0.75,0.77,0.005107539184552514,24,1.0,0.9929166666666666,0.83,1.0,0.034701104689428365,red,orange,orange,green,467.0,1013.0,1029.0,1.0
onlineathens,15,0.84,0.784,0.42,0.87,0.14110786147989265,15,0.88,0.884,0.88,0.89,0.005070925528371109,15,0.92,0.92,0.92,0.92,0.0,15,0.8300000000000001,0.8306666666666668,0.75,0.92,0.032175116087406676,orange,orange,green,orange,99.0,324.0,233.0,298.0
onwnews,15,0.8300000000000001,0.7726666666666666,0.46,0.85,0.12185862222068576,15,0.87,0.856,0.78,0.88,0.031350552512789016,15,0.92,0.9106666666666666,0.85,0.92,0.024630604269214904,15,0.8300000000000001,0.8306666666666668,0.75,0.92,0.032175116087406676,orange,orange,green,orange,168.0,413.0,233.0,298.0
opovo,20,0.185,0.186,0.13,0.23,0.03218368334551237,20,0.77,0.773,0.77,0.81,0.00978720969859183,20,0.86,0.86,0.86,0.86,0.0,20,0.8300000000000001,0.8019999999999999,0.67,0.8300000000000001,0.046971435888992046,red,orange,orange,orange,862.0,906.0,675.0,298.0
