identifier,handle,file_name,url,title,date,publicdate,addeddate
zn_ua-2022,zn_ua,zn_ua-2022.json,https://archive.org/details/zn_ua-2022,ZN.UA homepages in 2022,2022,2022-03-23 17:49:10,2022-03-23 17:49:10
propublica-2022,propublica,propublica-2022.json,https://archive.org/details/propublica-2022,ProPublica homepages in 2022,2022,2022-06-17 17:26:41,2022-06-17 17:26:41
marshallproj-2022,MarshallProj,marshallproj-2022.json,https://archive.org/details/marshallproj-2022,Marshall Project homepages in 2022,2022,2022-06-17 17:22:20,2022-06-17 17:22:20
techmeme-2022,techmeme,techmeme-2022.json,https://archive.org/details/techmeme-2022,TechMeme homepages in 2022,2022,2022-06-17 17:26:33,2022-06-17 17:26:33
publicintegrity-2022,publicintegrity,publicintegrity-2022.json,https://archive.org/details/publicintegrity-2022,Center for Public Integrity homepages in 2022,2022,2022-06-18 03:27:11,2022-06-18 03:27:11
icijorg-2022,ICIJorg,icijorg-2022.json,https://archive.org/details/icijorg-2022,ICIJ homepages in 2022,2022,2022-06-18 03:25:07,2022-06-18 03:25:07
motherjones-2022,MotherJones,motherjones-2022.json,https://archive.org/details/motherjones-2022,Mother Jones homepages in 2022,2022,2022-06-18 17:10:05,2022-06-18 17:10:05
gridnews-2022,gridnews,gridnews-2022.json,https://archive.org/details/gridnews-2022,Grid homepages in 2022,2022,2022-06-18 17:08:01,2022-06-18 17:08:01
baltimorebanner-2022,BaltimoreBanner,baltimorebanner-2022.json,https://archive.org/details/baltimorebanner-2022,Baltimore Banner homepages in 2022,2022,2022-06-18 17:07:17,2022-06-18 17:07:17
pucknews-2022,PuckNews,pucknews-2022.json,https://archive.org/details/pucknews-2022,Puck homepages in 2022,2022,2022-06-18 17:10:26,2022-06-18 17:10:26
votebeatus-2022,VotebeatUS,votebeatus-2022.json,https://archive.org/details/votebeatus-2022,Votebeat homepages in 2022,2022,2022-06-18 17:11:22,2022-06-18 17:11:22
mtnstspotlight-2022,mtnstspotlight,mtnstspotlight-2022.json,https://archive.org/details/mtnstspotlight-2022,Mountain State Spotlight homepages in 2022,2022,2022-06-18 21:04:13,2022-06-18 21:04:13
